Tarih,Yemek Adi,Fiyat,Maliyet,Hazirlanma Suresi,Garson
2025-12-11 17:18:38,Künefe,80,35,5,Garson Ali
2025-12-11 22:33:38,Mercimek,40,12,3,Garson Mehmet
2025-12-11 23:25:38,Kola,25,15,1,Garson Ali
2025-12-11 11:14:38,Beyti,160,70,9,Garson Mehmet
2025-12-11 23:07:38,İskender,150,65,8,Garson Ali
2025-12-11 22:01:38,Kola,25,15,1,Garson Ali
2025-12-11 23:57:38,Su,10,2,1,Garson Ali
2025-12-11 19:14:38,İskender,150,65,8,Garson Zeynep
2025-12-11 18:43:38,Beyti,160,70,9,Garson Ali
2025-12-11 16:58:38,Su,10,2,1,Garson Mehmet
2025-12-11 23:51:38,Beyti,160,70,9,Garson Ali
2025-12-11 15:46:38,Beyti,160,70,9,Garson Ayşe
2025-12-11 14:03:38,Adana,140,60,7,Garson Ali
2025-12-11 16:03:38,Beyti,160,70,9,Garson Mehmet
2025-12-11 15:31:38,İskender,150,65,8,Garson Ayşe
2025-12-11 15:12:38,Mercimek,40,12,3,Garson Ali
2025-12-11 14:24:38,Su,10,2,1,Garson Ayşe
2025-12-11 18:01:38,Su,10,2,1,Garson Ayşe
2025-12-11 21:53:38,Mercimek,40,12,3,Garson Ayşe
2025-12-11 20:35:38,Su,10,2,1,Garson Ali
2025-12-11 21:20:38,Kola,25,15,1,Garson Ali
2025-12-11 22:00:38,Mercimek,40,12,3,Garson Ali
2025-12-11 23:57:38,Beyti,160,70,9,Garson Ayşe
2025-12-11 23:44:38,Kola,25,15,1,Garson Ali
2025-12-11 23:43:38,Ezogelin,40,12,3,Garson Mehmet
2025-12-11 16:43:38,Beyti,160,70,9,Garson Ali
2025-12-11 14:36:38,İskender,150,65,8,Garson Ayşe
2025-12-11 20:32:38,Künefe,80,35,5,Garson Ali
2025-12-11 16:15:38,İskender,150,65,8,Garson Ali
2025-12-11 12:44:38,Beyti,160,70,9,Garson Ali
2025-12-11 23:14:38,Künefe,80,35,5,Garson Ali
2025-12-11 13:17:38,Beyti,160,70,9,Garson Ali
2025-12-11 18:33:38,Mercimek,40,12,3,Garson Ali
