Malzeme,Miktar,Esik
Ayran (ml),20000,1000
Biber (adet),50,10
Bulgur (gr),3000,1000
Ceviz (gr),1500,1000
Dana Eti (gr),35000,1000
Domates (adet),60,10
Ekmek (gr),8000,1000
Kadayıf (gr),5000,1000
Kola (ml),30000,1000
Kırmızı Mercimek (gr),3000,1000
Kıyma (gr),10560,1000
Lavaş (adet),32,10
Mercimek (gr),3500,1000
Peynir (gr),4000,1000
Salatalık (adet),40,10
Salça (gr),2000,1000
Salça Sos (gr),2020,1000
Soğan (gr),6000,1000
Su (ml),50000,1000
Tereyağı (gr),2500,1000
Yağ (ml),2000,1000
Yoğurt (gr),6520,1000
Zeytinyağı (ml),1500,1000
Şerbet (ml),8000,1000
